country,cause,beta,gamma,eta,mu,xi,theta,q,Lambda_scaled,Lambda_per_100k_per_year,cause_name
Republic_of_Moldova,Cocaine use disorders,0.9404742121696472,0.3996494710445404,0.3115986287593841,0.012462971,0.004082043,0.1125978603959083,1.730191946029663,13.68614673614502,1368.614673614502,Cocaine
Romania,Cocaine use disorders,0.9454237222671508,0.3951852321624756,0.3212273716926574,0.012842118,0.00384579,0.1160451248288154,1.726240873336792,10.64761734008789,1064.761734008789,Cocaine
Russian_Federation,Cocaine use disorders,0.5765700340270996,0.7180470824241638,0.1957893669605255,0.014090471,0.010757207,0.069984131,2.021814346313477,10.790970802307127,1079.097080230713,Cocaine
Rwanda,Cocaine use disorders,0.9996848106384276,0.3684781789779663,0.3463909029960632,0.014994147,0.017941045,0.1202230453491211,1.6942496299743652,37.140586853027344,3714.0586853027344,Cocaine
Saint_Kitts_and_Nevis,Cocaine use disorders,0.5591338276863098,0.7212382555007935,0.188446045,0.009910118,0.005874748,0.067452393,1.4661917686462402,16.32611846923828,1632.611846923828,Cocaine
Saint_Lucia,Cocaine use disorders,0.5590409636497498,0.7147747278213501,0.1926759183406829,0.006946618,0.005911351,0.068393275,1.459148884,17.133970260620117,1713.3970260620115,Cocaine
Saint_Vincent_and_the_Grenadines,Cocaine use disorders,0.5617337226867676,0.719875693,0.1814050376415252,0.009175058,0.005715066,0.064991914,1.4710237979888916,17.60805892944336,1760.805892944336,Cocaine
Samoa,Cocaine use disorders,1.000000238418579,0.3678998351097107,0.2016931474208831,0.005797706,0.017934116,0.074244373,1.6931464672088623,30.621618270874023,3062.1618270874023,Cocaine
San_Marino,Cocaine use disorders,0.5496633052825928,0.7256658673286438,0.1882502436637878,0.007996441,0.005239829,0.069149561,2.0437774658203125,9.312117577,931.2117577,Cocaine
Sao_Tome_and_Principe,Cocaine use disorders,0.9552478194236756,0.3940746784210205,0.3188931345939636,0.008279059,0.016680818,0.1196498274803161,1.725776195526123,36.38508987426758,3638.508987426758,Cocaine
Saudi_Arabia,Cocaine use disorders,0.998163879,0.387969434,0.3350465893745422,0.002968559,0.004701892,0.1245604157447815,1.7007167339324951,24.049440383911133,2404.9440383911133,Cocaine
Senegal,Cocaine use disorders,0.962427258,0.4002434611320495,0.3226742148399353,0.008711264,0.013329423,0.1160523742437362,1.716550112,36.70991134643555,3670.9911346435542,Cocaine
Serbia,Cocaine use disorders,0.9691551923751832,0.3878969550132751,0.3426388204097748,0.013453412,0.004370318,0.1250008344650268,1.7118521928787231,9.580205917358398,958.0205917358398,Cocaine
Seychelles,Cocaine use disorders,0.999746799,0.3678823709487915,0.3551210761070251,0.0078075,0.017952718,0.1265318244695663,1.6939911842346191,17.60508918762207,1760.508918762207,Cocaine
Sierra_Leone,Cocaine use disorders,1.0130233764648438,0.3851896524429321,0.319450319,0.016082499,0.011206081,0.1223698183894157,1.6982276439666748,40.35779571533203,4035.779571533203,Cocaine
Singapore,Cocaine use disorders,0.5474865436553955,0.7179734706878662,0.1895151734352111,0.004347265,0.004230762,0.069039837,1.4486281871795654,10.737706184387209,1073.7706184387207,Cocaine
Slovakia,Cocaine use disorders,0.5704289674758911,0.7223271131515503,0.1934477686882019,0.009999471,0.005945701,0.069219589,2.027421474456787,10.951412200927734,1095.1412200927734,Cocaine
Slovenia,Cocaine use disorders,0.6056588888168335,0.7159925103187561,0.1914902627468109,0.009716059,0.006415793,0.069868758,1.979049563407898,9.659587860107422,965.9587860107422,Cocaine
Solomon_Islands,Cocaine use disorders,0.9995517134666444,0.3678897619247436,0.3347399830818176,0.005856176,0.017940395,0.1198918372392654,1.6946306228637695,33.55902862548828,3355.902862548828,Cocaine
Somalia,Cocaine use disorders,1.0091744661331177,0.3722653985023498,0.3212298452854156,0.016672736,0.016121497,0.1147788017988205,1.688246488571167,48.56155776977539,4856.155776977539,Cocaine
South_Africa,Cocaine use disorders,0.563271701,0.7220411896705627,0.1813095360994339,0.010276676,0.005931181,0.065342605,1.476133108139038,22.53614616394043,2253.614616394043,Cocaine
South_Sudan,Cocaine use disorders,0.9996331930160522,0.3678805232048034,0.3297328948974609,0.019849706,0.017941147,0.1200442612171173,1.694367766,42.553321838378906,4255.332183837891,Cocaine
Spain,Cocaine use disorders,0.6985353231430054,0.7179699540138245,0.1891621202230453,0.008716618,0.002124404,0.0671141,1.9231904745101929,9.322706223,932.2706223,Cocaine
Sri_Lanka,Cocaine use disorders,1.0123634338378906,0.3741935789585113,0.3408415019512176,0.006788324,0.017893413,0.1236440390348434,1.6868475675582886,17.639265060424805,1763.9265060424805,Cocaine
Sudan,Cocaine use disorders,1.017563819885254,0.3850643932819366,0.3159292340278625,0.008972618,0.006625326,0.1202013194561004,1.7004879713058472,38.74867630004883,3874.867630004883,Cocaine
Suriname,Cocaine use disorders,0.5644536018371582,0.7177960276603699,0.18589218,0.00759097,0.006160527,0.066172466,1.4661967754364014,22.397470474243164,2239.7470474243164,Cocaine
Sweden,Cocaine use disorders,0.554763913,0.7175540924072266,0.1985020488500595,0.009962117,0.006646916,0.070995033,2.0494730472564697,11.476794242858888,1147.679424285889,Cocaine
Switzerland,Cocaine use disorders,0.5567069053649902,0.7220746278762817,0.1945374459028244,0.008450147,0.005575802,0.06877166,1.4549355506896973,10.498147010803224,1049.8147010803225,Cocaine
Syrian_Arab_Republic,Cocaine use disorders,0.9826712608337402,0.3829435408115387,0.3313491344451904,0.004997941,0.005741758,0.1247423589229583,1.708484411239624,28.17361831665039,2817.361831665039,Cocaine
Taiwan,Cocaine use disorders,1.0076839923858645,0.3729704618453979,0.3456518650054931,0.006446765,0.014783594,0.1220226287841796,1.6892244815826416,10.523881912231444,1052.3881912231443,Cocaine
Tajikistan,Cocaine use disorders,1.0184136629104614,0.3860294222831726,0.3264650702476501,0.006842353,0.005642039,0.1229685246944427,1.7032065391540527,32.038822174072266,3203.8822174072266,Cocaine
Thailand,Cocaine use disorders,0.9717323184013368,0.388443112,0.3401509821414947,0.0067065,0.015411831,0.1248270273208618,1.7099275588989258,13.412264823913574,1341.2264823913574,Cocaine
Timor-Leste,Cocaine use disorders,1.013374924659729,0.3733026683330536,0.3160061240196228,0.010735147,0.015285859,0.116887093,1.6862252950668335,33.84211730957031,3384.2117309570312,Cocaine
Togo,Cocaine use disorders,1.0000003576278689,0.3678923547267914,0.2027258425951004,0.010698,0.017925814,0.074243329,1.693145990371704,36.82749938964844,3682.749938964844,Cocaine
Tokelau,Cocaine use disorders,0.9996941685676576,0.3678896427154541,0.3466373085975647,0.006929618,0.017939692,0.1231416538357734,1.6941657066345217,22.47808837890625,2247.808837890625,Cocaine
Tonga,Cocaine use disorders,0.9997573494911194,0.3679799437522888,0.3358578085899353,0.006501588,0.017944116,0.1221633106470108,1.6940218210220337,28.316970825195312,2831.6970825195312,Cocaine
Trinidad_and_Tobago,Cocaine use disorders,0.5584183931350708,0.7204917669296265,0.1923242211341858,0.007090206,0.006006363,0.068426102,1.4611083269119265,14.549617767333984,1454.9617767333984,Cocaine
Tunisia,Cocaine use disorders,0.9821063280105592,0.395048589,0.3369975090026855,0.005656206,0.006909498,0.1229132413864135,1.7089295387268066,18.40144157409668,1840.144157409668,Cocaine
Turkmenistan,Cocaine use disorders,0.9964797496795654,0.3826995193958282,0.3272251486778259,0.006685294,0.006458412,0.1234353259205818,1.7070071697235107,25.95844078063965,2595.844078063965,Cocaine
Tuvalu,Cocaine use disorders,1.0001909732818604,0.3684259951114654,0.3294029533863067,0.009746176,0.017930746,0.1206313893198967,1.693279266357422,25.724794387817383,2572.4794387817383,Cocaine
Türkiye,Cocaine use disorders,0.96094811,0.3923060595989227,0.3423730134963989,0.006060206,0.004361684,0.1221590936183929,1.7173235416412354,19.181676864624023,1918.1676864624023,Cocaine
Uganda,Cocaine use disorders,1.016092062,0.3725644946098327,0.3037902116775512,0.010899206,0.01552115,0.1120116934180259,1.6847436428070068,44.15217590332031,4415.217590332031,Cocaine
Ukraine,Cocaine use disorders,0.9554070830345154,0.3919839262962341,0.3329299390316009,0.014542148,0.004508069,0.1211405172944068,1.7209720611572266,9.415941238,941.5941238,Cocaine
